code,name,Museums and galleries,"Pubs, clubs, and bars",Live events,Live music,Theatre,Cinema,"Activities organised by arts-based community groups (e.g. dance, music, arts, etc)",Faith-based cultural activities,My children have attended cultural events at least three times in the last 12 months.,They have not attended cultural events at least three times in the last 12 months.,Don't know
E36006804,Bablake ,12.99,13.64,4.55,2.6,5.84,22.73,6.49,6.49,86,14,0,,,,,
E36006805,Binley and Willenhall ,6.15,0.77,2.31,2.31,4.62,13.08,3.85,3.08,66.67,30,3.33,,,,,
E36006806,Cheylesmore,10.67,0.67,2,2,4,11.33,3.33,2.67,80,18,2,,,,,
E36006807,Earlsdon,11.11,7.78,4.44,3.33,4.44,17.78,8.89,7.78,85.71,10.71,3.57,,,,,
E36006808,Foleshill,10.53,1.97,3.29,2.63,2.63,21.71,3.95,5.26,48.24,50.59,1.18,,,,,
E36006809,Henley,14.29,3.9,8.44,4.55,8.44,22.73,7.14,5.19,75,20.31,4.69,,,,,
E36006810,Holbrook,10.76,6.33,1.27,1.27,4.43,18.99,2.53,4.43,64.71,33.82,1.47,,,,,
E36006811,Longford,19.75,6.17,3.7,3.09,8.64,33.95,10.49,5.56,85.14,12.16,2.7,,,,,
E36006812,Lower Stoke,9.43,3.77,4.72,3.77,4.72,18.87,5.66,6.6,76.47,14.71,8.82,,,,,
E36006813,Radford,13.38,2.82,4.23,2.82,7.04,20.42,5.63,3.52,67.31,28.85,3.85,,,,,
E36006814,Sherbourne,14.91,2.48,4.97,4.97,8.07,17.39,7.45,4.97,80.39,13.73,5.88,,,,,
E36006815,St Michael's,13.79,0.86,1.72,0.86,2.59,13.79,3.45,4.31,66.67,15.15,18.18,,,,,
E36006816,Upper Stoke,16.18,0.58,4.05,4.62,4.62,19.08,6.94,8.67,69.44,26.39,4.17,,,,,
E36006817,Wainbody,12.32,3.62,4.35,3.62,5.8,15.94,5.8,6.52,85,5,10,,,,,
E36006818,Westwood,11.86,4.52,7.91,3.39,8.47,17.51,6.21,1.13,60,20,20,,,,,
E36006819,Whoberley,10.27,6.16,2.74,2.05,9.59,17.81,3.42,1.37,52.73,12.73,34.55,,,,,
E36006820,Woodlands,6.43,2.86,3.57,0.71,2.14,10,1.43,1.43,32,42,26,,,,,
E36006821,Wyken,18.55,10.48,7.26,3.23,6.45,23.39,14.52,8.87,93.33,6.67,0,,,,,
