code,name,Less than 1 year,1-2 years,3-5 years,6-10 years,11-20 years,Over 20 years 
E36006804,Bablake ,8,9,10,15,18,40
E36006805,Binley and Willenhall ,7,12,14,12,17,38
E36006806,Cheylesmore,13,16,10,13,18,29
E36006807,Earlsdon,14,11,10,10,22,32
E36006808,Foleshill,8,16,16,13,13,33
E36006809,Henley,17,6,14,18,15,31
E36006810,Holbrook,6,13,11,16,15,38
E36006811,Longford,3,12,15,19,19,32
E36006812,Lower Stoke,9,13,16,14,21,26
E36006813,Radford,16,8,15,20,18,23
E36006814,Sherbourne,19,10,9,14,19,30
E36006815,'St Michael''s',35,18,15,11,8,13
E36006816,Upper Stoke,16,11,16,16,18,23
E36006817,Wainbody,10,9,7,17,20,37
E36006818,Westwood,15,14,16,12,14,29
E36006819,Whoberley,16,14,9,16,13,32
E36006820,Woodlands,4,11,10,14,13,48
E36006821,Wyken,10,10,7,16,27,30
